"","SEASON","TEAM","MARGIN","PY_A","DPY_A","RY_A","DRY_A","TO","DTO","RET_TD"
"79",2020,"JAX",-186,5.5,7.7,4.5,4.7,24,17,3
"80",2020,"KC",111,7.4,6.4,4.5,4.5,15,22,4
"81",2020,"LA",76,6.5,5.1,4.3,3.8,23,22,4
"82",2020,"LAC",-42,6.5,6.2,3.8,4.5,15,17,2
"83",2020,"LV",-44,7.3,7,4.2,4.6,25,14,0
"84",2020,"MIA",66,6.3,6.9,3.9,4.5,20,28,3
"85",2020,"MIN",-45,7.1,7.3,4.8,4.5,22,19,0
"86",2020,"NE",-27,6.1,6.9,4.7,4.5,19,22,3
"87",2020,"NO",145,6.8,5.7,4.6,3.9,16,23,1
"88",2020,"NYG",-77,5.3,6.2,4.4,4.1,21,20,2
"89",2020,"NYJ",-214,5.1,6.9,4.1,4,19,19,1
"90",2020,"PHI",-84,5,6.5,4.9,4.2,29,18,3
"91",2020,"PIT",104,5.9,5.3,3.6,4.3,16,26,3
"92",2020,"SEA",88,6.4,6.3,4.8,3.9,18,21,0
"93",2020,"SF",-14,6.6,5.9,4.3,4,27,19,1
"94",2020,"TB",137,7.1,5.9,4.1,3.6,16,25,1
"95",2020,"TEN",52,7.1,6.8,5.1,4.5,12,22,2
"96",2020,"WAS",6,5.3,5.3,4,4.2,24,23,5
